formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula,sys,kappa_basis,data_origin
Al1V0.9Fe2W0.1,4.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.102.075117,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.79V1.21Fe2,8.2,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.15541/jim20250041,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.79V1.21Fe2,6.1,W/m/K,800.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.15541/jim20250041,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.9V1.1Fe2,7.5,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.2320/jinstmet.ja201520,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.94V1.06Fe2,9.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.2320/jinstmet.ja201520,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al1.04V0.96Fe2,10.5,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.2320/jinstmet.ja201520,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al1.06V0.94Fe2,9.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.2320/jinstmet.ja201520,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al1.1V0.9Fe2,7.5,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.2320/jinstmet.ja201520,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Ta1.05Al1Ru1.95,3.5,W/m/K,100.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.18205,225.0,Fm-3m,full_Heusler_L21,,"[""Ru"", ""Ru"", ""Al"", ""Ta""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1103/physrevb.96.125106,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TaAlRu2,Al-Ru-Ta,reported_lattice,experimental
Ta1.05Al1Ru1.95,3.8,W/m/K,150.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.18205,225.0,Fm-3m,full_Heusler_L21,,"[""Ru"", ""Ru"", ""Al"", ""Ta""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1103/physrevb.96.125106,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TaAlRu2,Al-Ru-Ta,reported_lattice,experimental
Ta1.05Al1Ru1.95,3.9,W/m/K,200.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.18205,225.0,Fm-3m,full_Heusler_L21,,"[""Ru"", ""Ru"", ""Al"", ""Ta""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1103/physrevb.96.125106,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TaAlRu2,Al-Ru-Ta,reported_lattice,experimental
Ta1.05Al1Ru1.95,3.8,W/m/K,250.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.18205,225.0,Fm-3m,full_Heusler_L21,,"[""Ru"", ""Ru"", ""Al"", ""Ta""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1103/physrevb.96.125106,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TaAlRu2,Al-Ru-Ta,reported_lattice,experimental
Ta1.05Al1Ru1.95,3.7,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,6.18205,225.0,Fm-3m,full_Heusler_L21,,"[""Ru"", ""Ru"", ""Al"", ""Ta""]","[[0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.0, 0.0, 0.0], [0.5, 0.5, 0.5]]",A,conventional,doped_recovery,10.1103/physrevb.96.125106,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,TaAlRu2,Al-Ru-Ta,reported_lattice,experimental
Al0.95V1Fe2Ge0.05,9.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.9V1Fe2Ge0.1,4.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.85V1Fe2Ge0.15,2.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.8V1Fe2Ge0.2,1.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.95V1Fe2Si0.05,13.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
Al0.9V1Fe2Si0.1,9.0,W/m/K,300.0,"experimental, doped/substituted sample (lattice kappa as published)",0,experimental,0.6,5.65709,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Fe"", ""Fe""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,doped_recovery,10.1103/physrevb.74.115115,,,parent_compound,,structure inherited from the stoichiometric parent; substitution shifts a by <1%,,False,doped,AlVFe2,Al-Fe-V,reported_lattice,experimental
