formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula
Ac2MgGa,0.85,W/m/K,300.0,Slack,3,semi-empirical,0.3,8.020455780000002,225.0,,,,"Ac,Ga,Mg","[[0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.0, -0.0, -0.0], [0.5, 0.5, 0.5]]",A,primitive->conventional (x sqrt2),paper mining,10.1038/s41598-025-24428-3,https://doi.org/10.1038/s41598-025-24428-3,Table 5 + Results text,Materials Project,,MP relaxed structure,,False,stoichiometric,Ac2MgGa
AgSbSe2,0.48,W/m/K,300.0,measured,3,semi-empirical,0.3,7.08222,225.0,Fm-3m,,,"[""Ag"", ""Ag"", ""Ag"", ""Ag"", ""Sb"", ""Sb"", ""Sb"", ""Sb"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se"", ""Se""]","[[0.0, 0.0, 0.0], [0.0, 0.5, 0.5], [0.5, 0.0, 0.5], [0.5, 0.5, 0.0], [0.5, 0.0, 0.0], [0.5, 0.5, 0.5], [0.0, 0.0, 0.5], [0.0, 0.5, 0.0], [0.25, 0.75, 0.75], [0.25, 0.25, 0.75], [0.25, 0.25, 0.25], [0.25, 0.75, 0.25], [0.75, 0.75, 0.25], [0.75, 0.25, 0.25], [0.75, 0.25, 0.75], [0.75, 0.75, 0.75]]",A,conventional,"paper mining (PDF, batch 2)",10.1038/s41467-020-14772-5,,page 10,OPTIMADE,https://alexandria.icams.rub.de/pbe/v1/structures/agm002735473,alexandria,agm002735473,False,stoichiometric,AgSbSe2
AlCrCu2,3.62766,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.9481,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""Cr"", ""Cu"", ""Cu""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Cr1Cu2_ICSD_57653,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17416.xml,JARVIS-DFT (NIST),JVASP-17416,False,stoichiometric,AlCrCu2
AlVNi2,6.06207,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.80195,225.0,Fm-3m,full_Heusler_L21,,"[""Al"", ""V"", ""Ni"", ""Ni""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Al1Ni2V1_ICSD_58071,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-16373.xml,JARVIS-DFT (NIST),JVASP-16373,False,stoichiometric,AlVNi2
Ca2HgPb,6.6,W/m/K,300.0,Slack model,3,semi-empirical,0.3,7.66177,225.0,Fm-3m,full_Heusler_L21,,"[""Ca"", ""Ca"", ""Hg"", ""Pb""]","[[0.5, 0.5, 0.5], [0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,"paper mining (PDF, batch 2)",10.1038/s41524-022-00887-4,,Table 1,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-39995.xml,JARVIS-DFT (NIST),JVASP-39995,False,stoichiometric,Ca2HgPb
CuNi2Sb,2.46569,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.01355,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Ni"", ""Ni"", ""Sb""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Ni2Sb1_ICSD_53320,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18563.xml,JARVIS-DFT (NIST),JVASP-18563,False,stoichiometric,CuNi2Sb
CuNi2Sn,1.60187,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,5.98614,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Ni"", ""Ni"", ""Sn""]","[[0.0, 0.0, 0.0], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25], [0.5, 0.5, 0.5]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Ni2Sn1_ICSD_103068,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18686.xml,JARVIS-DFT (NIST),JVASP-18686,False,stoichiometric,CuNi2Sn
CuSnRh2,4.86328,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.21885,225.0,Fm-3m,full_Heusler_L21,,"[""Cu"", ""Sn"", ""Rh"", ""Rh""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Cu1Rh2Sn1_ICSD_103092,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18688.xml,JARVIS-DFT (NIST),JVASP-18688,False,stoichiometric,CuSnRh2
DyInAg2,1.07687,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.96458,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Ag"", ""Ag""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Ag2Dy1In1_ICSD_104397,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-17869.xml,JARVIS-DFT (NIST),JVASP-17869,False,stoichiometric,DyInAg2
DyInAu2,1.0706,W/m/K,300.0,AGL Debye-Gruneisen (quasi-harmonic),3,semi-empirical,0.3,6.97987,225.0,Fm-3m,full_Heusler_L21,,"[""Dy"", ""In"", ""Au"", ""Au""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.75, 0.75, 0.75], [0.25, 0.25, 0.25]]",A,conventional,AFLOW AGL,,aflowlib.duke.edu:AFLOWDATA/ICSD_WEB/FCC/Au2Dy1In1_ICSD_58442,,JARVIS-DFT (NIST),https://www.ctcms.nist.gov/~knc6/static/JARVIS-DFT/JVASP-18601.xml,JARVIS-DFT (NIST),JVASP-18601,False,stoichiometric,DyInAu2
