compound,klass,cluster,sib,k_ref,k_pred,kk,ape,ratio,n_cond,review
AlVFe2,full,full:X2=Fe,5,14.125911403068438,6.0853,4.4564,57.69795074106165,0.4230204925893835,9,False
AlVNi,half,half:X=Al,9,8.8,9.1865,7.159405665703975,22.329032258064505,0.7896505176814376,5,False
BaAgSb,half,half:X=Ba,4,0.8877841618552265,0.6749499999999999,0.5661199149597034,29.20248306493556,0.7249246230813633,8,True
CuAgTe,half,half:X=Cu,0,0.2432745587946863,1.8315,1.4882629921433783,511.7626929494962,6.117626929494962,5,True
DyNiSb,half,half:X=Dy,7,2.9658027570848784,4.74345,3.8637737452679106,28.48416408400204,1.2395701434584745,8,False
DySbPt,half,half:X=Dy,7,3.65,3.12075,2.672053586250734,23.655611821407593,0.763443881785924,4,False
ErBiPd,half,half:X=Er,8,5.428967707980956,2.172,2.172,59.992394192969485,0.4000760580703051,7,False
ErNiSb,half,half:X=Er,8,3.887669441105584,5.241,4.927559942413786,21.23736330512127,1.0508866717943377,9,False
ErSbPd,half,half:X=Er,8,5.650656177311548,2.5202,2.3694784519884036,58.067198257393414,0.41932801742606585,9,False
GdBiPd,half,half:X=Gd,7,3.643764761743374,2.35065,2.270489843315077,41.75289166230212,0.5824710833769788,8,False
HfCoSb,half,half:X=Hf,32,8.703934984566342,6.99115,6.092318853107422,29.82895547411119,0.701710445258888,8,False
HfNiSn,half,half:X=Hf,32,3.87540282550126,6.33615,5.1740127840915076,38.810478081285865,1.3214272402851122,8,False
HfSnPt,half,half:X=Hf,32,7.977856141758178,5.0479,4.647809943027524,38.454469463626744,0.6154553053637326,9,False
HoNiSb,half,half:X=Ho,9,4.294048142214199,11.80875,4.780909597441948,11.460416396534367,1.1146041639653437,2,False
HoSbPd,half,half:X=Ho,9,2.01089938241407,6.116350000000001,2.4819625451661773,23.43283653115432,1.2343283653115433,2,False
LaBiPd,half,half:X=La,22,3.1314683455065646,1.0563,1.0221959754171839,67.6310111907182,0.32368988809281807,8,False
LaSbPd,half,half:X=La,22,1.9131938323286921,1.8996,1.8393012138787825,10.425265358029135,0.8957473464197085,8,False
Li2ZnGe,full,full:X2=Li,9,1.2997897035034685,2.4874,2.4689,77.97523541605233,1.7797523541605234,10,False
LiAlGe,half,half:X=Li,22,1.3738735785931435,8.1542,4.762551412178352,220.50023150667013,3.2050023150667015,3,False
LiAlSi,half,half:X=Li,22,11.688246979711124,4.7363,2.918703946130637,78.37828029826197,0.21621719701738024,3,False
LiZnSb,half,half:X=Li,22,3.1509193661394743,4.6648,3.183412010931422,6.645616178707399,1.0063301582422446,3,False
LuNiSb,half,half:X=Lu,6,4.347852861640272,5.757,4.689336006304673,13.197945175653064,0.9923757009882956,8,False
LuSbPt,half,half:X=Lu,6,3.45,3.5965499999999997,3.0820525732092534,9.390174342105261,0.9060982565789474,4,False
MgAgSb,half,half:X=Mg,2,0.6967123947969183,4.0978,2.6772293333333335,284.2660692312942,3.8426606923129416,3,True
