cl,n_compounds,n_compounds_all_tiers,n_compounds_semiempirical
half:X=Ti,45,45,0
half:X=Zr,38,38,0
half:X=Nb,36,36,0
half:X=Ta,35,35,0
half:X=V,35,35,0
half:X=Hf,32,32,0
half:X=Cr,29,29,0
half:X=Y,25,25,0
half:X=Sc,24,24,0
half:X=La,22,22,0
half:X=Li,22,22,0
half:X=Na,12,12,0
half:X=K,11,11,0
half:X=Al,9,9,0
full:X2=Li,9,9,0
half:X=Ho,9,9,0
half:X=Er,8,8,0
half:X=Tm,7,7,0
half:X=Gd,7,7,0
half:X=Pm,7,7,0
half:X=Dy,7,7,0
half:X=Ca,6,6,0
half:X=Lu,6,6,0
half:X=Tb,6,6,0
full:X2=Ba,5,5,0
half:X=Tl,5,5,0
half:X=Th,5,5,0
half:X=Fe,5,5,0
full:X2=Fe,5,5,0
half:X=Ba,4,4,0
half:X=Ac,4,4,0
half:X=Nd,4,4,0
half:X=B,4,4,0
half:X=Ga,3,3,0
full:X2=Te,3,3,0
half:X=Pr,3,3,0
half:X=Sr,3,3,0
half:X=Sm,3,3,0
half:X=Rb,3,3,0
half:X=In,3,3,0
full:X2=Sr,3,3,0
half:X=Mg,2,2,0
full:X2=Ru,2,6,4
full:X2=Yb,2,2,0
half:X=Mn,2,2,0
half:X=U,2,2,0
full:X2=K,2,2,0
full:X2=Na,2,2,0
full:X2=Cd,1,1,0
full:X2=Ir,1,1,0
half:X=Ru,1,1,0
half:X=Os,1,1,0
half:X=P,1,1,0
half:X=Pa,1,1,0
half:X=Mo,1,1,0
half:X=Sn,1,1,0
half:X=Tc,1,1,0
other:Al-Co-Fe-Ti,1,1,0
half:X=Co,1,1,0
full:X2=Ca,1,2,1
full:X2=Al,1,4,3
half:X=Ge,1,1,0
half:X=Be,1,1,0
half:X=Ce,1,1,0
half:X=Cs,1,1,0
full:X2=Ac,0,1,1
full:X2=Mn,0,1,1
full:X2=Mg,0,1,1
full:X2=In,0,3,3
full:X2=Hg,0,2,2
full:X2=Co,0,20,20
full:X2=Au,0,15,15
full:X2=Cu,0,20,20
full:X2=Ag,0,12,12
full:X2=Se,0,1,1
full:X2=Pd,0,17,17
full:X2=Pt,0,3,3
full:X2=Rh,0,6,6
full:X2=Ni,0,27,27
full:X2=Zr,0,1,1
full:X2=Ti,0,4,4
full:X2=Zn,0,1,1
