compound,pairs,within_2x
AlVFe2,174,0.8333333333333334
BaAgSb,6,0.8333333333333334
CuAgTe,18,0.4444444444444444
ErNiSb,7,1.0
HfCoSb,22,1.0
HfNiSn,65,0.9538461538461539
HfSnPt,9,1.0
NbCoSb,72,1.0
NbCoSn,538,0.9089219330855018
NbFeSb,52,0.5192307692307693
ScNiSb,23,0.6086956521739131
TaFeSb,6,1.0
TiCoSb,1160,0.8267241379310345
TiFe2Sn,44,0.75
TiNiSn,2246,0.8797862867319679
TmNiSb,7,0.8571428571428571
VCoSb,39,1.0
VFeSb,127,0.8503937007874016
VGaFe2,9,1.0
YSbPt,5,1.0
ZrCoBi,6,1.0
ZrCoSb,439,1.0
ZrNiSn,3464,0.9344688221709007
