compound,cluster,k_ref,model,const,power,model_ratio,const_ratio,power_ratio
AlVNi,half:X=Al,8.8,22.329032258064508,53.0319424000671,52.39951691401493,0.8479958437938327,0.469680575999329,0.4760048308598506
BaAgSb,half:X=Ba,0.8877841618552265,26.204352303255007,402.7210588376589,385.42466470323967,0.7549059306981688,5.02721058837659,4.854246647032397
CuAgTe,half:X=Cu,0.2432745587946863,511.55644283073843,1696.5813083633975,1724.162572858404,6.115564428307384,17.965813083633975,18.241625728584044
DyNiSb,half:X=Dy,2.9658027570848784,31.852193444675322,41.98785306280972,41.99585123179304,1.2583009100047509,1.4198785306280972,1.4199585123179304
DySbPt,half:X=Dy,3.65,23.350466165413533,15.525683134212109,17.87359366716357,0.7664953383458647,1.155256831342121,1.1787359366716357
ErBiPd,half:X=Er,5.428967707980956,59.99239419296949,23.836142983303304,28.104152271997656,0.4000760580703051,0.761638570166967,0.7189584772800234
ErNiSb,half:X=Er,3.887669441105584,28.841402522422726,11.88495267953789,15.809077930935356,1.0508866717943377,1.063596395019983,0.9598158310618927
ErSbPd,half:X=Er,5.650656177311548,56.91911417419482,33.217267331901624,41.58709066496027,0.43080885825805176,0.7317577061566231,0.709637798663869
GdBiPd,half:X=Gd,3.643764761743374,40.8524090706845,15.125007077026622,6.701060059552232,0.591475909293155,1.1512500707702662,1.0670106005955222
HfCoSb,half:X=Hf,8.703934984566342,27.957554257787645,53.78356473105079,55.72465332624566,0.7204244574221235,0.46216435268949213,0.44275346673754346
HfNiSn,half:X=Hf,3.87540282550126,38.81269984011994,17.210117222205213,6.605614757418858,1.3503715143788613,1.0357669845804123,1.0271624135106514
HfSnPt,half:X=Hf,7.977856141758178,38.454469463626744,49.7527613279127,52.59340378372867,0.6154553053637326,0.502472386720873,0.47406596216271346
HoNiSb,half:X=Ho,4.294048142214199,9.144179204429863,2.337295108461271,17.85125954660056,1.0914417920442987,0.9784334242826983,1.1785125954660056
HoSbPd,half:X=Ho,2.01089938241407,20.991602977732516,108.8502170719518,151.1182264537007,1.2099160297773253,2.088502170719518,2.511182264537007
LaBiPd,half:X=La,3.1314683455065646,67.17452560789786,37.39551522997991,40.47075861056206,0.3282547439210213,1.373955152299799,1.4047075861056206
LaSbPd,half:X=La,1.9131938323286921,13.88581410351875,124.85977339808181,116.49331134130429,0.8611418589648124,2.248597733980818,2.164933113413043
LiAlGe,half:X=Li,1.3738735785931435,196.75947361728717,205.17595468192394,247.32893623742575,2.9675947361728716,3.0517595468192393,3.4732893623742576
LiAlSi,half:X=Li,11.688246979711124,79.97988916505739,64.12865148321872,59.173856489704704,0.20020110834942612,0.35871348516781276,0.40826143510295293
LiZnSb,half:X=Li,3.1509193661394743,13.560755721025386,33.0637608391515,42.18609457008097,0.9728761191737694,1.330637608391515,1.4218609457008096
LuNiSb,half:X=Lu,4.347852861640272,17.537578604124555,3.9470934350875195,8.549965400422082,0.9923757009882956,0.9605290656491248,0.9145003459957792
LuSbPt,half:X=Lu,3.45,9.390174342105261,21.061920532546118,23.566858618708544,0.9060982565789474,1.2106192053254612,1.2356685861870855
MgAgSb,half:X=Mg,0.6967123947969183,337.5680305105228,512.739971274626,560.3519651985467,4.375680305105228,6.12739971274626,6.603519651985467
MgNiSb,half:X=Mg,3.6339012801980033,118.506073438719,17.478021513913706,37.092494982092624,2.18506073438719,1.174780215139137,1.3709249498209264
NbCoSb,half:X=Nb,3.047579747595911,107.18125155363536,35.09588445524238,27.45250070043449,2.0718125155363536,1.3509588445524239,1.2745250070043448
NbCoSn,half:X=Nb,6.4407315603485396,7.281109038718089,36.01970948180795,38.35175432979588,0.9988781529995324,0.6398029051819205,0.6164824567020413
NbFeSb,half:X=Nb,5.2249992178770555,59.45972283938134,28.51468781154265,31.22703829472266,1.236063112646696,0.788831401598268,0.7625255233272386
ScNiSb,half:X=Sc,7.062267981901979,32.613959509533274,41.53900369077762,42.72750424734264,0.6738604049046673,0.5846099630922239,0.5727249575265736
ScSbPd,half:X=Sc,3.5993325946112646,8.870693329264968,14.671579084179093,29.663156596185896,1.0189844654786937,1.1467157908417909,1.296631565961859
TaCoSn,half:X=Ta,3.9071332027553964,98.68053164793466,16.370912469385292,8.105310384215628,1.9868053164793462,1.049753504685012,1.0114277161796403
TaFeSb,half:X=Ta,9.153440565691756,18.793135967437895,55.233005654394226,56.22849220127443,1.0915515458287928,0.4476699434560577,0.43771507798725573
TbSbPt,half:X=Tb,2.95,22.176321839080465,42.361767733846754,42.06031356467503,0.7782367816091954,1.4236176773384677,1.4206031356467501
TiCoSb,half:X=Ti,8.083246826770843,21.427867812034883,50.72563419816121,52.37123044282635,1.2142786781203487,0.49274365801838793,0.47628769557173634
TiNiSn,half:X=Ti,4.523324511634004,91.89400449282631,11.945990170628162,12.148111932113116,1.918940044928263,0.8805400982937184,0.8785188806788689
TiSnPt,half:X=Ti,9.689373455748266,35.75083503146927,58.75724616928917,62.034795204600265,0.6424916496853073,0.4124275383071083,0.37965204795399743
TmNiSb,half:X=Tm,3.4697336497777895,20.315210130645507,24.145620690300767,18.68688643784502,1.1628611586651818,1.2071749965594472,1.147461323262887
VCoSb,half:X=V,2.351893256615817,289.5781710080835,82.14643936061636,74.6486478029664,3.8957817100808345,1.8214643936061634,1.7464864780296638
VCoSn,half:X=V,6.549751552807013,104.39672602653445,60.30710620575496,57.44075721197712,2.0127619813251627,0.7974974031973968,0.8150851610888137
VFeSb,half:X=V,5.771903961317898,31.63230160319517,39.44457153817832,37.68104590882109,1.3163230160319517,0.7421702955585288,0.7177398357437326
VNiSn,half:X=V,2.2,257.0,94.71326119065952,96.80997873699407,3.57,1.9471326119065953,1.9680997873699406
YNiBi,half:X=Y,3.5596338003894465,18.23765075660347,26.968545195912007,37.580545967354716,0.9961785284334285,1.23428422760137,1.3258253865664011
YNiSb,half:X=Y,2.2655074055852795,80.3618028317316,91.65212573403687,123.09544709898314,1.803618028317316,1.9165212573403687,2.2309544709898312
