compound,measured_slope,predicted_slope
AlVNi,-0.8556450574765821,0.1928881896314956
BaAgSb,-1.516396209462884,-0.23067798077137303
CuAgTe,-0.7491191558634158,0.42799483652885567
DyNiSb,-0.5849284784227915,-0.20197606227926895
DySbPt,-0.01576388437698276,-0.3783932354510058
ErBiPd,-0.10381115971951078,-0.7574102638977434
ErNiSb,-0.2185122335280125,-0.22487744162591286
ErSbPd,0.7573531315647257,-0.3344230121169979
GdBiPd,0.01746789502360292,-0.7473739967114142
HfCoSb,-0.5857950188886676,-0.13074386457121473
HfNiSn,-0.6879665734795701,0.00809300419786752
HfSnPt,-0.7777342032551902,-0.27404143798472475
LaBiPd,-0.30813208621700217,-0.6079150583315205
LaSbPd,-0.3947864643371714,-0.44721327959459706
LuNiSb,-0.4080695223109629,-0.21193044850853582
LuSbPt,-0.10105076253980098,-0.331896296551482
NbCoSb,-0.4275581583923468,-0.3960660631459115
NbCoSn,-0.4863133969060174,-0.18217277279780783
NbFeSb,-0.8898436119056788,-0.20131391693137346
ScNiSb,-0.22228769598622078,-0.25152130965657316
TaCoSn,-0.46229638399907236,-0.3017046921241136
TaFeSb,-0.8202893539640396,-0.18301914236622274
TbSbPt,0.0874804397638552,-0.3290690555018686
TiCoSb,-0.15224111345882319,-0.3389830537811986
TiNiSn,-0.2675042382804466,-0.2593974068897969
TiSnPt,-0.8249481824661363,-0.6708981331843242
TmNiSb,-0.2847028781569953,-0.13265355035979018
VCoSb,-0.21883691914281483,-0.3448829160772479
VCoSn,-4.783096642248501,-0.02459412434087208
VFeSb,-1.4047393088486728,-0.2463074179598463
VNiSn,-0.5932755219154097,0.18404989524926374
YNiBi,0.4782509734924382,-0.11339610114801839
YSbPt,-0.5578939827281737,-0.3093861837111592
YbNiSb,-0.3996400017585992,-0.09505991061243615
ZnNiSn,-0.6164525347565889,-0.5815114499922941
ZrCoBi,-1.1235630692450185,-0.33966115952593356
ZrCoSb,-0.6452828677905679,-0.3030271766137079
ZrNiPb,-0.2856749565169408,-0.15566515952449184
ZrNiSn,-0.2201819632407155,-0.23878258987451026
ZrSbIr,-1.362140161353148,-0.3331997935274039
ZrSnPt,-0.750803375222339,-0.42440103272015695
