formula,kappa_L,kappa_units,temperature_K,method,method_tier,tier_name,weight,kappa_basis,struct_a_A,struct_spacegroup,struct_sg_symbol,struct_prototype,struct_site_ordering,struct_species,struct_frac_coords,struct_grade,lattice_convention,source,source_doi,source_url,source_location,struct_source,struct_source_url,struct_source_detail,struct_id,struct_same_paper_as_kappa,stoichiometry,parent_formula,phase_note
ZrSbIr,9.2,W/m/K,300.0,"experimental, Derived from k_total - k_e - k_bp",0,experimental,1.0,wf_subtracted,6.292,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Zr', 'Zr', 'Zr', 'Zr', 'Sb', 'Sb', 'Sb', 'Sb', 'Ir', 'Ir', 'Ir', 'Ir']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1088/1361-6463/ac1dd8,https://doi.org/10.1088/1361-6463/ac1dd8,Figure 4b,C1b prototype + sourced lattice constant,,"XRD refined, 10.1088/1361-6463/ac1dd8",,True,stoichiometric,ZrSbIr,single-phase
ZrSbIr,4.5,W/m/K,500.0,"experimental, Derived from k_total - k_e - k_bp",0,experimental,1.0,wf_subtracted,6.292,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Zr', 'Zr', 'Zr', 'Zr', 'Sb', 'Sb', 'Sb', 'Sb', 'Ir', 'Ir', 'Ir', 'Ir']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1088/1361-6463/ac1dd8,https://doi.org/10.1088/1361-6463/ac1dd8,Figure 4b,C1b prototype + sourced lattice constant,,"XRD refined, 10.1088/1361-6463/ac1dd8",,True,stoichiometric,ZrSbIr,single-phase
ZrSbIr,2.8,W/m/K,700.0,"experimental, Derived from k_total - k_e - k_bp",0,experimental,1.0,wf_subtracted,6.292,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Zr', 'Zr', 'Zr', 'Zr', 'Sb', 'Sb', 'Sb', 'Sb', 'Ir', 'Ir', 'Ir', 'Ir']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1088/1361-6463/ac1dd8,https://doi.org/10.1088/1361-6463/ac1dd8,Figure 4b,C1b prototype + sourced lattice constant,,"XRD refined, 10.1088/1361-6463/ac1dd8",,True,stoichiometric,ZrSbIr,single-phase
ZrSbIr,1.8,W/m/K,950.0,"experimental, Derived from k_total - k_e - k_bp",0,experimental,1.0,wf_subtracted,6.292,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Zr', 'Zr', 'Zr', 'Zr', 'Sb', 'Sb', 'Sb', 'Sb', 'Ir', 'Ir', 'Ir', 'Ir']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1088/1361-6463/ac1dd8,https://doi.org/10.1088/1361-6463/ac1dd8,Figure 4b,C1b prototype + sourced lattice constant,,"XRD refined, 10.1088/1361-6463/ac1dd8",,True,stoichiometric,ZrSbIr,single-phase
AlVNi,13.0,W/m/K,300.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,5.7,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'V', 'V', 'V', 'V', 'Ni', 'Ni', 'Ni', 'Ni']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854; JARVIS primitive 4.0321 x sqrt2 = 5.702",,True,stoichiometric,AlVNi,multiphase sample
AlVNi,10.5,W/m/K,400.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,5.7,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'V', 'V', 'V', 'V', 'Ni', 'Ni', 'Ni', 'Ni']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854; JARVIS primitive 4.0321 x sqrt2 = 5.702",,True,stoichiometric,AlVNi,multiphase sample
AlVNi,8.8,W/m/K,500.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,5.7,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'V', 'V', 'V', 'V', 'Ni', 'Ni', 'Ni', 'Ni']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854; JARVIS primitive 4.0321 x sqrt2 = 5.702",,True,stoichiometric,AlVNi,multiphase sample
AlVNi,7.5,W/m/K,600.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,5.7,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'V', 'V', 'V', 'V', 'Ni', 'Ni', 'Ni', 'Ni']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854; JARVIS primitive 4.0321 x sqrt2 = 5.702",,True,stoichiometric,AlVNi,multiphase sample
AlVNi,6.2,W/m/K,723.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,5.7,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'V', 'V', 'V', 'V', 'Ni', 'Ni', 'Ni', 'Ni']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854; JARVIS primitive 4.0321 x sqrt2 = 5.702",,True,stoichiometric,AlVNi,multiphase sample
AlNiSb,14.5,W/m/K,300.0,"experimental, Derived from total and electronic kappa",0,experimental,0.7,wf_subtracted,6.01,216,F-43m,half_Heusler_C1b,X:4a Y:4c Z:4b,"['Al', 'Al', 'Al', 'Al', 'Ni', 'Ni', 'Ni', 'Ni', 'Sb', 'Sb', 'Sb', 'Sb']","[[0, 0, 0], [0, 0.5, 0.5], [0.5, 0, 0.5], [0.5, 0.5, 0], [0.25, 0.25, 0.25], [0.25, 0.75, 0.75], [0.75, 0.25, 0.75], [0.75, 0.75, 0.25], [0.5, 0.5, 0.5], [0.5, 0, 0], [0, 0.5, 0], [0, 0, 0.5]]",B,conventional,"recovered from heusler.sqlite (extracted, never merged)",10.1016/j.jpcs.2023.111854,https://doi.org/10.1016/j.jpcs.2023.111854,Fig. 5d,C1b prototype + sourced lattice constant,,"XRD refined, 10.1016/j.jpcs.2023.111854",,True,stoichiometric,AlNiSb,multiphase sample
