reduced_formula,spacegroup_number
Ac(AgGe)2,139
Ac(BRu)2,139
Ac(GeRu)2,139
Ac(InAg)2,139
Ac(InAu)2,139
Ac(SiPd)2,139
Ac(ZnGe)2,139
Ac2AgIr,225
Ac2AgPb,225
Ac2AgPd,225
Ac2AlRu,225
Ac2CuGe,225
Ac2CuIr,225
Ac2CuSi,225
Ac2CuSn,225
Ac2GaCu,225
Ac2GaRu,225
Ac2GaSi,225
Ac2GePd,225
Ac2GeRu,225
Ac2HfFe,225
Ac2HfGe,225
Ac2HgGe,225
Ac2InGa,225
Ac2IrPd,225
Ac2MgGa,225
Ac2MgSn,225
Ac2MgTl,225
Ac2NiIr,225
Ac2SiPd,225
Ac2TaFe,225
Ac2ZnGa,225
Ac2ZnGe,225
Ac2ZnIn,225
Ac2ZnSi,225
Ac3Hf4Fe,221
Ac3In,194
Ac3Sc,194
AcAg,221
AcAg2Pd,225
AcAg2Sn,225
AcAgAu2,225
AcAgGe,216
AcAgHg,216
AcAgHg2,225
AcAgPb,216
AcAgPd,216
AcAgPd2,225
AcAl2Ru,225
AcAlRu,216
AcAlRu2,225
AcBiAu2,225
AcCdAg2,225
AcCdGa,216
AcCdHg2,225
AcCdNi,216
AcCdRh2,225
AcCu3,194
AcErMg2,225
AcGa2Ru,225
AcGaRu,216
AcGaRu2,225
AcGe2Ru,225
AcGeRu,216
AcGeRu2,225
AcHf2Fe,225
AcHf2Ge,225
AcHfFe,216
AcHfFe2,225
AcHfGe,216
AcHfGe2,225
AcHfPt,216
AcHfSc,216
AcHgAu2,225
AcHgRh2,225
AcIn,123
AcInAg,216
AcInAu2,225
AcInHg2,225
AcInPd,216
AcInPt,216
AcInTe2,225
AcLaEr2,225
AcLuZn2,225
AcMg2Cd,225
AcMgCd2,225
AcMgHg2,225
AcMgIn,216
AcMgNi,216
AcMgTl2,225
AcNbPt,216
AcNiAs,216
AcNiP,216
AcNiSb,216
AcOF,216
AcPbAu2,225
AcPmGe,216
AcPmSi2,225
AcPmTm2,225
AcRhPb,216
AcRuPt,216
AcSbAu2,225
AcSbPd,216
AcScIn,216
AcScNb,216
AcScRu,216
AcScTa,216
AcScZn,216
AcTa2Fe,225
AcTaFe,216
AcTaFe2,225
AcTaPt,216
AcTlAg,216
AcTlAg2,225
AcTlAu2,225
AcTlHg2,225
AcTlPd,216
AcTlTe2,225
AcYMg2,225
AcYb2Y,225
AcYbCd2,225
AcYbGa,216
AcYbGa2,225
AcYbHg2,225
AcYbMg2,225
AcYbRh,216
AcYbRh2,225
AcYbZn2,225
AcZn,221
AcZn2Ga,225
AcZn2In,225
AcZnAu2,225
AcZnGa,216
AcZnGa2,225
AcZnPt,216
Ag,194
Ag(BPd)2,139
Ag(BiPd)2,139
Ag(PdAu)2,139
Ag2Au,47
Ag2Au,191
Ag2GeRu,216
Ag2GeRu,225
Ag2HgI4,111
Ag2MoO4,227
Ag2O,224
Ag2PdAu,71
Ag2S,19
Ag3AsO4,218
Ag3Ge,187
Ag3Ge,221
Ag3Ge,225
Ag3Hg,221
Ag3P,139
Ag3P11,8
Ag3PO4,218
Ag3PS4,31
Ag3Pd,139
Ag3Pd,194
Ag3Pd13Pb6,152
Ag3Pt,221
Ag3Rh,221
Ag3Sb,25
Ag3Sn,59
Ag3SnP7,11
Ag5(PbO3)2,162
Ag5SbS4,36
AgAs2Pd,216
AgAs2Pd,225
AgAsPd,216
AgAsPd2,216
AgAsPd2,225
AgAsRu2,216
AgAsS,62
AgAu,166
AgAu2,191
AgAuF4,140
AgB2,47
AgB2,191
AgB2Pd,216
AgB2Pd,225
AgBPd,216
AgBPd2,216
AgBPd2,225
AgBi2Pd,216
AgBi2Pd,225
AgBiAu,216
AgBiPd,216
AgBiPd2,216
AgBiPd2,225
AgBr,11
AgBr,225
AgC,225
AgCl,11
AgCl,225
AgF,225
AgGe2Ru,216
AgGe2Ru,225
AgGeRu,216
AgGeRu2,216
AgGeRu2,225
