compound,cluster,T,k_ref,k_pred,k_pred_hurdle,p_low,n_ref_rows,klass,Yfam,ratio,ape,suspect_ref
MnCo2Si,full:X2=Co,300.0,60.63283943704386,36.9765,47.9236,0.0016,1,full,,0.60984279052927,39.015720947073,False
MnCo2Si,full:X2=Co,400.0,57.009193363569466,31.1156,39.558,0.0011,2,full,,0.5457996888600738,45.42003111399262,False
MnCo2Si,full:X2=Co,500.0,52.62577738078987,27.5883,31.7008,0.0011,2,full,,0.5242354863544616,47.57645136455384,False
MnCo2Si,full:X2=Co,600.0,37.30965316752498,22.8015,24.9324,0.0011,2,full,,0.6111421057070253,38.88578942929747,False
MnCo2Si,full:X2=Co,700.0,29.49605223653983,19.6832,18.2896,0.0012,2,full,,0.6673164205892059,33.26835794107941,False
MnCo2Si,full:X2=Co,800.0,21.84277797892365,17.2836,16.1861,0.0012,2,full,,0.7912729789533706,20.87270210466294,False
MnCo2Si,full:X2=Co,900.0,19.504640602154105,15.6116,14.1088,0.0013,2,full,,0.8004043918797378,19.95956081202622,False
MnCo2Si,full:X2=Co,1000.0,13.884844472419111,14.4014,11.8514,0.0014,2,full,,1.0372028313753876,3.720283137538751,False
MnCo2Sn,full:X2=Co,200.0,3.295118446683503,13.3414,21.0508,0.0206,4,full,,4.048837762851274,304.88377628512745,False
MnCo2Sn,full:X2=Co,300.0,3.5541973894126766,8.5882,10.4696,0.0712,8,full,,2.4163542592155194,141.63542592155193,False
MnCo2Sn,full:X2=Co,400.0,4.744871025441132,8.1089,9.0753,0.0419,4,full,,1.7089821739140136,70.89821739140136,False
MnGaCo2,full:X2=Co,200.0,18.01860605934925,28.6193,32.5522,0.0167,3,full,,1.5883193131441156,58.831931314411555,False
MnGaCo2,full:X2=Co,300.0,16.93364772992916,15.2869,16.2638,0.0376,3,full,,0.902752923871291,9.724707612870894,False
MnGaCo2,full:X2=Co,400.0,15.699515316409922,14.2823,13.8322,0.0206,2,full,,0.9097287216931736,9.027127830682634,False
TiCo2Ge,full:X2=Co,200.0,3.7281815717602598,34.5541,33.7305,0.0094,6,full,,9.268352234165809,826.8352234165808,False
TiCo2Ge,full:X2=Co,300.0,3.7731378178890815,19.6604,19.1023,0.0295,13,full,,5.210623345584339,421.062334558434,False
TiCo2Ge,full:X2=Co,400.0,3.8786345582732,18.0746,15.2408,0.0168,7,full,,4.660042014385331,366.0042014385331,False
TiCo2Si,full:X2=Co,200.0,2.832069992474927,59.5605,67.9885,0.0007,6,full,,21.030730228510517,2003.0730228510515,False
TiCo2Si,full:X2=Co,300.0,3.013941580516548,43.7184,43.7429,0.0019,13,full,,14.505390642809761,1350.5390642809762,False
TiCo2Si,full:X2=Co,400.0,3.506263339854188,37.2964,34.8752,0.0018,7,full,,10.637078959833921,963.7078959833923,False
TiCo2Sn,full:X2=Co,200.0,3.963626607813568,16.1825,21.5961,0.01,17,full,,4.08275087469116,308.27508746911604,False
TiCo2Sn,full:X2=Co,300.0,4.413651801301903,10.2288,12.493,0.0337,28,full,,2.3175366930809522,131.75366930809523,False
TiCo2Sn,full:X2=Co,400.0,5.557895286286982,9.1327,10.4651,0.0195,7,full,,1.643193966344265,64.3193966344265,False
AlVFe2,full:X2=Fe,200.0,26.136814433046435,7.5625,14.4473,0.0486,30,full,,0.28934283553845225,71.06571644615478,False
AlVFe2,full:X2=Fe,300.0,24.082846808177223,4.1936,6.6397,0.1677,50,full,,0.17413223749677642,82.58677625032236,False
AlVFe2,full:X2=Fe,400.0,16.94978340557846,3.9802,6.0821,0.144,25,full,,0.2348230596675382,76.51769403324619,False
AlVFe2,full:X2=Fe,500.0,15.60379418213212,4.0737,5.7702,0.1411,23,full,,0.2610711185017287,73.89288814982713,False
AlVFe2,full:X2=Fe,600.0,14.125911403068438,4.3396,5.3376,0.1254,14,full,,0.30720849622894775,69.27915037710524,False
AlVFe2,full:X2=Fe,700.0,12.37834,4.0177,4.3108,0.1847,13,full,,0.32457502379155845,67.54249762084414,False
AlVFe2,full:X2=Fe,800.0,10.778079764146208,3.4792,3.7844,0.1752,8,full,,0.3228033263934197,67.71966736065802,False
AlVFe2,full:X2=Fe,900.0,10.464026043807827,3.0359,3.801,0.1724,1,full,,0.29012733600720714,70.98726639927929,False
