compound,rows,doi,independent,bins,corroborated,span_K,max_step,e_fraction_pct,verdict,flags
NbCoSn,165,14,13,8,8,685.1813,1.1847060473472242,,KEEP,
LaSbPd,14,1,1,8,0,645.2559000000001,1.1307080870377546,,REVIEW,single-source; no bin corroborated
LiZnSb,12,1,1,3,0,223.49209999999994,1.1439141822800245,,REVIEW,single-source; no bin corroborated
TiCoSb,422,24,24,9,9,789.0902,1.188606309394143,,KEEP,
YSbPt,47,3,3,9,3,751.0383999999999,1.5094254509236356,,REVIEW,only 3/9 bins corroborated; step 1.51x between bins
LuNiSb,29,2,2,8,4,732.5999999999999,1.4028666869873656,,KEEP,
ZrNiPb,7,1,1,7,0,571.6499,1.2080185979704383,,REVIEW,single-source; no bin corroborated
ErNiSb,34,2,2,9,7,769.2713000000001,1.61692760226349,,DOWNGRADE,step 1.62x between bins
TmNiSb,50,3,3,8,3,738.8171,1.8693778680282997,,REVIEW,only 3/8 bins corroborated; step 1.87x between bins
TaFeSb,39,2,2,9,6,769.5739,1.478662856343955,,DOWNGRADE,step 1.48x between bins
ZrNiSn,646,40,39,10,10,881.0129999999999,1.884336949131501,,DOWNGRADE,step 1.88x between bins
LuSbPt,4,1,1,4,0,575.0,1.1176470588235294,,REVIEW,single-source; no bin corroborated
AlVNi,5,1,1,5,0,423.0,1.2380952380952381,,REVIEW,single-source; no bin corroborated
